10
BC377639-37CC-4824-81AF-60177418B46D,PAYMENT,14535.18,C1906093041,83310.00,68774.82,M95867054
A35686EA-BFE7-455E-A027-54D73968E6D3,PAYMENT,11367.98,C371579810,77199.32,65831.34,M1932650331
7721D4C1-5A2E-4AA0-8AC3-351DFC4FE84A,DEPOSIT,159266.75,C1387043512,7777736.40,7937003.15,C553899299
003C45B2-1356-4C7F-8D8A-EBB7BF026F16,DEPOSIT,149504.20,C386278926,56082.00,205586.20,C1113941243
F8A44740-DE85-4477-9E5E-C090AABE0BF2,WITHDRAWAL,79628.70,C739752704,203042.00,123413.30,C579345824
0934FD69-HI90-6874-P98F-N382JSBW8KF2,WITHDRAWAL,89209.83,C347382921,893472.00,804262.17,C827349281
835F92H7-SW23-N927-F93F-NA83BDH34JS9,TRANSFER,49323.98,C983923654,107987.00,58663.02,C123456789
3BB30254-4E03-40A4-83D9-2111E9E258B3,TRANSFER,8.00,C736247881,9.00,8.00,C189348295
S834X8FG-H03B-CJ83-JK18-MK14M16Mk19A,DEBIT,2.00,C923981102,3.00,1.00,C834012829
F0X8103Z-JK82-VCI4-FJK3-K983M249O83S,DEBIT,12.50,C928347726,12.50,0.00,C987654321
/
